"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.0","","","","1"
"2021-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.6","","","","1"
"2021-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.5","","","","1"
"2021-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.4","","","","1"
"2021-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","156.6","","","","1"
"2021-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","156.8","","","","1"
"2021-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","157.6","","","","1"
"2021-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","158.0","","","","1"
"2021-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","158.5","","","","1"
"2021-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","159.2","","","","1"
"2021-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","160.7","","","","1"
"2021-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","161.6","","","","1"
"2022-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","163.9","","","","1"
"2022-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","166.0","","","","1"
"2022-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","167.5","","","","1"
"2022-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","169.0","","","","1"
"2022-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","170.4","","","","1"
"2022-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","170.6","","","","1"
"2022-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","172.1","","","","1"
"2022-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","173.5","","","","1"
"2022-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","174.8","","","","1"
"2022-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","175.2","","","","1"
"2022-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","177.3","","","","1"
"2022-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","177.9","","","","1"
"2023-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","181.0","","","","1"
"2023-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","182.1","","","","1"
"2023-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","182.4","","","","1"
"2023-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","183.1","","","","1"
"2023-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","184.6","","","","1"
"2023-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","184.8","","","","1"
"2023-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","185.5","","","","1"
"2023-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","185.3","","","","1"
"2023-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","185.2","","","","1"
"2023-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","185.0","","","","1"
"2023-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","186.2","","","","1"
"2023-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","186.8","","","","1"
"2024-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","188.1","","","","1"
"2024-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","188.1","","","","1"
